
,,,Measures,"Number of collisions","Number of vehicles","Number of persons","Number of injured","Number of fatalities"
"October","2013","Bottom of hill or gradient","Overcast, cloudy but no precipitation",24,37,54,35,1
"October","2013","Bottom of hill or gradient","Raining",10,13,19,15,0
"October","2013","Bottom of hill or gradient","Snowing, not including drifting snow",3,4,7,3,0
"October","2013","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2013","Bottom of hill or gradient","Visibility limitation",1,1,1,1,0
"October","2013","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"October","2013","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2013","Bottom of hill or gradient","Unknown",1,1,1,1,0
"October","2013","Other","Clear and sunny",14,24,32,15,0
"October","2013","Other","Overcast, cloudy but no precipitation",5,7,10,6,1
"October","2013","Other","Raining",1,1,1,1,0
"October","2013","Other","Snowing, not including drifting snow",1,1,1,1,0
"October","2013","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2013","Other","Visibility limitation",1,1,3,1,0
"October","2013","Other","Strong wind",0,0,0,0,0
"October","2013","Other","Other",2,3,3,2,0
"October","2013","Other","Unknown",4,6,11,6,0
"October","2013","Unknown","Clear and sunny",548,1003,1416,692,7
"October","2013","Unknown","Overcast, cloudy but no precipitation",29,51,70,31,0
"October","2013","Unknown","Raining",35,62,83,44,0
"October","2013","Unknown","Snowing, not including drifting snow",9,12,16,10,0
"October","2013","Unknown","Freezing rain, sleet, hail",3,4,4,3,0
"October","2013","Unknown","Visibility limitation",4,6,8,4,0
"October","2013","Unknown","Strong wind",2,2,2,2,0
"October","2013","Unknown","Other",3,6,7,3,0
"October","2013","Unknown","Unknown",63,123,168,77,0
"October","2014","Straight and level","Clear and sunny",5280,9974,14306,7241,80
"October","2014","Straight and level","Overcast, cloudy but no precipitation",947,1740,2475,1260,12
"October","2014","Straight and level","Raining",1473,2681,3925,1949,15
"October","2014","Straight and level","Snowing, not including drifting snow",44,71,97,58,1
"October","2014","Straight and level","Freezing rain, sleet, hail",5,9,12,6,0
"October","2014","Straight and level","Visibility limitation",64,114,150,87,4
"October","2014","Straight and level","Strong wind",16,20,26,22,0
"October","2014","Straight and level","Other",17,33,43,21,1
"October","2014","Straight and level","Unknown",77,141,172,87,0
"October","2014","Straight with gradient","Clear and sunny",498,949,1318,672,12
"October","2014","Straight with gradient","Overcast, cloudy but no precipitation",165,310,446,215,4
"October","2014","Straight with gradient","Raining",232,429,613,298,8
"October","2014","Straight with gradient","Snowing, not including drifting snow",5,7,11,9,0
"October","2014","Straight with gradient","Freezing rain, sleet, hail",1,1,2,1,0
"October","2014","Straight with gradient","Visibility limitation",8,12,15,10,0
"October","2014","Straight with gradient","Strong wind",4,7,13,9,0
"October","2014","Straight with gradient","Other",0,0,0,0,0
"October","2014","Straight with gradient","Unknown",4,5,8,5,0
"October","2014","Curved and level","Clear and sunny",405,596,813,502,20
"October","2014","Curved and level","Overcast, cloudy but no precipitation",101,131,181,124,0
"October","2014","Curved and level","Raining",152,211,291,204,2
"October","2014","Curved and level","Snowing, not including drifting snow",4,4,5,5,0
"October","2014","Curved and level","Freezing rain, sleet, hail",1,1,2,1,1
"October","2014","Curved and level","Visibility limitation",15,17,23,16,2
"October","2014","Curved and level","Strong wind",2,2,3,3,0
"October","2014","Curved and level","Other",1,1,3,3,0
"October","2014","Curved and level","Unknown",15,26,31,17,0
"October","2014","Curved with gradient","Clear and sunny",183,265,376,226,8
"October","2014","Curved with gradient","Overcast, cloudy but no precipitation",86,121,186,110,2
"October","2014","Curved with gradient","Raining",94,145,210,118,2
"October","2014","Curved with gradient","Snowing, not including drifting snow",10,13,15,11,1
"October","2014","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2014","Curved with gradient","Visibility limitation",7,9,15,8,2
"October","2014","Curved with gradient","Strong wind",0,0,0,0,0
"October","2014","Curved with gradient","Other",0,0,0,0,0
"October","2014","Curved with gradient","Unknown",4,4,5,4,1
"October","2014","Top of hill or gradient","Clear and sunny",56,88,135,65,3
"October","2014","Top of hill or gradient","Overcast, cloudy but no precipitation",29,46,64,37,1
"October","2014","Top of hill or gradient","Raining",12,19,25,16,0
"October","2014","Top of hill or gradient","Snowing, not including drifting snow",1,2,2,1,0
"October","2014","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2014","Top of hill or gradient","Visibility limitation",0,0,0,0,0
"October","2014","Top of hill or gradient","Strong wind",0,0,0,0,0
"October","2014","Top of hill or gradient","Other",0,0,0,0,0
"October","2014","Top of hill or gradient","Unknown",1,1,2,2,0
"October","2014","Bottom of hill or gradient","Clear and sunny",46,81,120,75,0
"October","2014","Bottom of hill or gradient","Overcast, cloudy but no precipitation",14,25,34,15,0
"October","2014","Bottom of hill or gradient","Raining",13,21,37,19,1
"October","2014","Bottom of hill or gradient","Snowing, not including drifting snow",0,0,0,0,0
"October","2014","Bottom of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2014","Bottom of hill or gradient","Visibility limitation",1,1,1,1,0
"October","2014","Bottom of hill or gradient","Strong wind",1,1,2,2,0
"October","2014","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2014","Bottom of hill or gradient","Unknown",1,1,4,2,0
"October","2014","Other","Clear and sunny",13,18,26,14,0
"October","2014","Other","Overcast, cloudy but no precipitation",4,7,13,7,0
"October","2014","Other","Raining",5,5,10,6,0
"October","2014","Other","Snowing, not including drifting snow",0,0,0,0,0
"October","2014","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2014","Other","Visibility limitation",1,1,4,1,0
"October","2014","Other","Strong wind",0,0,0,0,0
"October","2014","Other","Other",1,1,2,1,0
"October","2014","Other","Unknown",5,7,9,6,0
"October","2014","Unknown","Clear and sunny",470,868,1255,572,8
"October","2014","Unknown","Overcast, cloudy but no precipitation",18,30,43,24,0
"October","2014","Unknown","Raining",26,45,66,32,0
"October","2014","Unknown","Snowing, not including drifting snow",11,18,31,18,1
"October","2014","Unknown","Freezing rain, sleet, hail",4,6,15,11,0
"October","2014","Unknown","Visibility limitation",2,2,2,2,0
"October","2014","Unknown","Strong wind",1,1,1,1,0
"October","2014","Unknown","Other",5,7,13,6,0
"October","2014","Unknown","Unknown",59,99,132,64,2
"October","2015","Straight and level","Clear and sunny",5760,10762,15255,7797,91
"October","2015","Straight and level","Overcast, cloudy but no precipitation",784,1440,1970,1069,4
"October","2015","Straight and level","Raining",1058,1893,2778,1447,12
"October","2015","Straight and level","Snowing, not including drifting snow",25,30,53,34,2
"October","2015","Straight and level","Freezing rain, sleet, hail",3,3,5,5,0
"October","2015","Straight and level","Visibility limitation",52,77,92,60,1
"October","2015","Straight and level","Strong wind",16,20,32,16,0
"October","2015","Straight and level","Other",12,21,27,15,0
"October","2015","Straight and level","Unknown",65,127,170,74,0
"October","2015","Straight with gradient","Clear and sunny",561,1063,1552,781,11
"October","2015","Straight with gradient","Overcast, cloudy but no precipitation",136,246,354,194,2
"October","2015","Straight with gradient","Raining",135,250,342,181,2
"October","2015","Straight with gradient","Snowing, not including drifting snow",8,10,14,10,0
"October","2015","Straight with gradient","Freezing rain, sleet, hail",1,1,2,1,0
"October","2015","Straight with gradient","Visibility limitation",7,12,17,8,0
"October","2015","Straight with gradient","Strong wind",2,2,3,2,0
"October","2015","Straight with gradient","Other",2,3,3,2,0
"October","2015","Straight with gradient","Unknown",4,4,6,4,0
"October","2015","Curved and level","Clear and sunny",453,692,965,590,23
"October","2015","Curved and level","Overcast, cloudy but no precipitation",99,138,187,122,4
"October","2015","Curved and level","Raining",135,198,282,170,7
"October","2015","Curved and level","Snowing, not including drifting snow",10,12,20,13,0
"October","2015","Curved and level","Freezing rain, sleet, hail",0,0,0,0,0
"October","2015","Curved and level","Visibility limitation",11,13,20,13,0
"October","2015","Curved and level","Strong wind",2,2,2,2,0
"October","2015","Curved and level","Other",1,2,2,1,0
"October","2015","Curved and level","Unknown",10,18,21,13,0
"October","2015","Curved with gradient","Clear and sunny",185,282,365,221,13
"October","2015","Curved with gradient","Overcast, cloudy but no precipitation",56,76,122,85,5
"October","2015","Curved with gradient","Raining",73,113,159,101,2
"October","2015","Curved with gradient","Snowing, not including drifting snow",3,3,4,3,0
"October","2015","Curved with gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2015","Curved with gradient","Visibility limitation",2,2,2,2,0
"October","2015","Curved with gradient","Strong wind",0,0,0,0,0
"October","2015","Curved with gradient","Other",0,0,0,0,0
"October","2015","Curved with gradient","Unknown",2,3,4,3,0
"October","2015","Top of hill or gradient","Clear and sunny",70,112,173,94,1
"October","2015","Top of hill or gradient","Overcast, cloudy but no precipitation",29,64,95,41,0
"October","2015","Top of hill or gradient","Raining",15,25,36,18,0
"October","2015","Top of hill or gradient","Snowing, not including drifting snow",1,1,1,1,0
"October","2015","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2015","Top of hill or gradient","Visibility limitation",2,3,3,2,0
"October","2015","Top of hill or gradient","Strong wind",1,1,1,1,0
"October","2015","Top of hill or gradient","Other",1,2,2,1,0
"October","2015","Top of hill or gradient","Unknown",1,1,1,1,0
"October","2015","Bottom of hill or gradient","Clear and sunny",69,115,160,89,1
"October","2015","Bottom of hill or gradient","Overcast, cloudy but no precipitation",22,33,43,31,0
"October","2015","Bottom of hill or gradient","Raining",11,16,24,15,0
"October","2015","Bottom of hill or gradient","Snowing, not including drifting snow",3,3,6,5,0
"October","2015","Bottom of hill or gradient","Freezing rain, sleet, hail",2,2,2,2,0
"October","2015","Bottom of hill or gradient","Visibility limitation",2,2,3,2,0
"October","2015","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"October","2015","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2015","Bottom of hill or gradient","Unknown",0,0,0,0,0
"October","2015","Other","Clear and sunny",10,19,32,21,0
"October","2015","Other","Overcast, cloudy but no precipitation",3,4,7,3,0
"October","2015","Other","Raining",0,0,0,0,0
"October","2015","Other","Snowing, not including drifting snow",0,0,0,0,0
"October","2015","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2015","Other","Visibility limitation",0,0,0,0,0
"October","2015","Other","Strong wind",0,0,0,0,0
"October","2015","Other","Other",0,0,0,0,0
"October","2015","Other","Unknown",5,8,13,7,0
"October","2015","Unknown","Clear and sunny",477,907,1264,594,2
"October","2015","Unknown","Overcast, cloudy but no precipitation",17,28,35,20,1
"October","2015","Unknown","Raining",33,60,79,38,0
"October","2015","Unknown","Snowing, not including drifting snow",1,1,2,1,0
"October","2015","Unknown","Freezing rain, sleet, hail",1,1,1,0,1
"October","2015","Unknown","Visibility limitation",0,0,0,0,0
"October","2015","Unknown","Strong wind",2,2,5,3,0
"October","2015","Unknown","Other",1,2,3,2,0
"October","2015","Unknown","Unknown",38,59,84,45,0
"October","2016","Straight and level","Clear and sunny",4989,9411,13389,6784,77
"October","2016","Straight and level","Overcast, cloudy but no precipitation",879,1575,2169,1167,13
"October","2016","Straight and level","Raining",1450,2594,3701,1942,10
"October","2016","Straight and level","Snowing, not including drifting snow",199,324,466,264,5
"October","2016","Straight and level","Freezing rain, sleet, hail",15,24,34,19,0
"October","2016","Straight and level","Visibility limitation",111,187,240,133,6
"October","2016","Straight and level","Strong wind",7,11,13,7,0
"October","2016","Straight and level","Other",10,17,29,11,0
"October","2016","Straight and level","Unknown",95,164,236,116,3
"October","2016","Straight with gradient","Clear and sunny",463,871,1292,666,8
"October","2016","Straight with gradient","Overcast, cloudy but no precipitation",130,231,322,172,3
"October","2016","Straight with gradient","Raining",196,378,544,290,4
"October","2016","Straight with gradient","Snowing, not including drifting snow",42,62,103,59,1
"October","2016","Straight with gradient","Freezing rain, sleet, hail",2,2,2,2,0
"October","2016","Straight with gradient","Visibility limitation",12,18,22,16,0
"October","2016","Straight with gradient","Strong wind",2,2,5,3,0
"October","2016","Straight with gradient","Other",1,2,6,1,0
"October","2016","Straight with gradient","Unknown",2,4,10,4,0
"October","2016","Curved and level","Clear and sunny",388,555,765,475,16
"October","2016","Curved and level","Overcast, cloudy but no precipitation",91,138,177,117,3
"October","2016","Curved and level","Raining",170,237,361,238,9
"October","2016","Curved and level","Snowing, not including drifting snow",35,47,74,42,1
"October","2016","Curved and level","Freezing rain, sleet, hail",2,2,4,2,0
"October","2016","Curved and level","Visibility limitation",25,32,48,31,2
"October","2016","Curved and level","Strong wind",1,2,2,1,0
"October","2016","Curved and level","Other",4,5,7,4,0
"October","2016","Curved and level","Unknown",17,32,41,18,0
"October","2016","Curved with gradient","Clear and sunny",146,214,358,219,2
"October","2016","Curved with gradient","Overcast, cloudy but no precipitation",76,94,130,93,5
"October","2016","Curved with gradient","Raining",93,129,176,113,5
"October","2016","Curved with gradient","Snowing, not including drifting snow",24,30,49,35,1
"October","2016","Curved with gradient","Freezing rain, sleet, hail",1,1,1,1,0
"October","2016","Curved with gradient","Visibility limitation",3,4,7,4,0
"October","2016","Curved with gradient","Strong wind",0,0,0,0,0
"October","2016","Curved with gradient","Other",2,2,2,2,0
"October","2016","Curved with gradient","Unknown",6,7,12,7,0
"October","2016","Top of hill or gradient","Clear and sunny",60,101,134,82,1
"October","2016","Top of hill or gradient","Overcast, cloudy but no precipitation",25,43,62,30,0
"October","2016","Top of hill or gradient","Raining",24,38,56,33,0
"October","2016","Top of hill or gradient","Snowing, not including drifting snow",11,15,20,17,1
"October","2016","Top of hill or gradient","Freezing rain, sleet, hail",1,1,2,1,0
"October","2016","Top of hill or gradient","Visibility limitation",3,6,6,5,0
"October","2016","Top of hill or gradient","Strong wind",0,0,0,0,0
"October","2016","Top of hill or gradient","Other",1,2,2,1,0
"October","2016","Top of hill or gradient","Unknown",1,2,2,1,0
"October","2016","Bottom of hill or gradient","Clear and sunny",45,69,99,64,0
"October","2016","Bottom of hill or gradient","Overcast, cloudy but no precipitation",20,32,54,35,0
"October","2016","Bottom of hill or gradient","Raining",12,21,29,17,1
"October","2016","Bottom of hill or gradient","Snowing, not including drifting snow",6,7,16,11,0
"October","2016","Bottom of hill or gradient","Freezing rain, sleet, hail",3,4,5,3,0
"October","2016","Bottom of hill or gradient","Visibility limitation",1,1,1,1,0
"October","2016","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"October","2016","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2016","Bottom of hill or gradient","Unknown",1,2,2,1,0
"October","2016","Other","Clear and sunny",7,10,13,7,0
"October","2016","Other","Overcast, cloudy but no precipitation",2,7,10,6,0
"October","2016","Other","Raining",2,2,2,2,0
"October","2016","Other","Snowing, not including drifting snow",0,0,0,0,0
"October","2016","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2016","Other","Visibility limitation",0,0,0,0,0
"October","2016","Other","Strong wind",1,2,2,1,0
"October","2016","Other","Other",1,2,4,4,0
"October","2016","Other","Unknown",0,0,0,0,0
"October","2016","Unknown","Clear and sunny",303,579,856,374,8
"October","2016","Unknown","Overcast, cloudy but no precipitation",18,27,30,22,3
"October","2016","Unknown","Raining",47,86,125,70,0
"October","2016","Unknown","Snowing, not including drifting snow",35,66,94,43,0
"October","2016","Unknown","Freezing rain, sleet, hail",2,5,6,2,0
"October","2016","Unknown","Visibility limitation",6,10,13,8,0
"October","2016","Unknown","Strong wind",0,0,0,0,0
"October","2016","Unknown","Other",8,13,21,10,0
"October","2016","Unknown","Unknown",39,60,88,49,2
"October","2017","Straight and level","Clear and sunny",5691,10685,14733,7602,68
"October","2017","Straight and level","Overcast, cloudy but no precipitation",657,1190,1659,900,11
"October","2017","Straight and level","Raining",970,1716,2446,1302,11
"October","2017","Straight and level","Snowing, not including drifting snow",128,214,329,181,3
"October","2017","Straight and level","Freezing rain, sleet, hail",22,38,44,28,0
"October","2017","Straight and level","Visibility limitation",54,84,119,72,2
"October","2017","Straight and level","Strong wind",59,95,118,73,0
"October","2017","Straight and level","Other",15,24,35,21,1
"October","2017","Straight and level","Unknown",64,101,165,84,0
"October","2017","Straight with gradient","Clear and sunny",527,992,1415,709,23
"October","2017","Straight with gradient","Overcast, cloudy but no precipitation",91,179,257,131,2
"October","2017","Straight with gradient","Raining",139,270,393,210,2
"October","2017","Straight with gradient","Snowing, not including drifting snow",27,39,57,41,0
"October","2017","Straight with gradient","Freezing rain, sleet, hail",2,3,3,2,0
"October","2017","Straight with gradient","Visibility limitation",7,12,16,8,0
"October","2017","Straight with gradient","Strong wind",4,9,13,7,0
"October","2017","Straight with gradient","Other",0,0,0,0,0
"October","2017","Straight with gradient","Unknown",6,6,9,6,0
"October","2017","Curved and level","Clear and sunny",481,700,1016,621,27
"October","2017","Curved and level","Overcast, cloudy but no precipitation",100,124,161,111,4
"October","2017","Curved and level","Raining",111,156,207,140,3
"October","2017","Curved and level","Snowing, not including drifting snow",19,24,36,30,0
"October","2017","Curved and level","Freezing rain, sleet, hail",1,2,2,1,0
"October","2017","Curved and level","Visibility limitation",13,17,19,14,0
"October","2017","Curved and level","Strong wind",4,5,6,5,0
"October","2017","Curved and level","Other",1,1,1,1,0
"October","2017","Curved and level","Unknown",9,12,18,10,0
"October","2017","Curved with gradient","Clear and sunny",186,283,384,231,10
"October","2017","Curved with gradient","Overcast, cloudy but no precipitation",70,101,138,89,4
"October","2017","Curved with gradient","Raining",53,77,109,70,3
"October","2017","Curved with gradient","Snowing, not including drifting snow",25,35,58,43,3
"October","2017","Curved with gradient","Freezing rain, sleet, hail",2,4,4,3,0
"October","2017","Curved with gradient","Visibility limitation",10,14,19,13,1
"October","2017","Curved with gradient","Strong wind",4,6,8,5,0
"October","2017","Curved with gradient","Other",0,0,0,0,0
"October","2017","Curved with gradient","Unknown",2,2,3,1,1
"October","2017","Top of hill or gradient","Clear and sunny",73,130,179,109,6
"October","2017","Top of hill or gradient","Overcast, cloudy but no precipitation",20,35,43,30,0
"October","2017","Top of hill or gradient","Raining",11,18,23,15,0
"October","2017","Top of hill or gradient","Snowing, not including drifting snow",7,12,28,17,3
"October","2017","Top of hill or gradient","Freezing rain, sleet, hail",3,5,5,3,0
"October","2017","Top of hill or gradient","Visibility limitation",2,3,4,4,0
"October","2017","Top of hill or gradient","Strong wind",3,4,4,4,0
"October","2017","Top of hill or gradient","Other",0,0,0,0,0
"October","2017","Top of hill or gradient","Unknown",0,0,0,0,0
"October","2017","Bottom of hill or gradient","Clear and sunny",57,101,145,81,0
"October","2017","Bottom of hill or gradient","Overcast, cloudy but no precipitation",15,25,36,19,1
"October","2017","Bottom of hill or gradient","Raining",13,21,33,19,0
"October","2017","Bottom of hill or gradient","Snowing, not including drifting snow",3,5,6,3,0
"October","2017","Bottom of hill or gradient","Freezing rain, sleet, hail",2,3,3,2,0
"October","2017","Bottom of hill or gradient","Visibility limitation",2,2,6,3,2
"October","2017","Bottom of hill or gradient","Strong wind",2,2,4,3,0
"October","2017","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2017","Bottom of hill or gradient","Unknown",0,0,0,0,0
"October","2017","Other","Clear and sunny",13,20,21,13,0
"October","2017","Other","Overcast, cloudy but no precipitation",2,2,2,2,0
"October","2017","Other","Raining",0,0,0,0,0
"October","2017","Other","Snowing, not including drifting snow",0,0,0,0,0
"October","2017","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2017","Other","Visibility limitation",0,0,0,0,0
"October","2017","Other","Strong wind",0,0,0,0,0
"October","2017","Other","Other",0,0,0,0,0
"October","2017","Other","Unknown",8,9,15,8,0
"October","2017","Unknown","Clear and sunny",349,669,882,416,3
"October","2017","Unknown","Overcast, cloudy but no precipitation",20,31,45,27,1
"October","2017","Unknown","Raining",40,70,90,47,0
"October","2017","Unknown","Snowing, not including drifting snow",18,26,42,22,0
"October","2017","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"October","2017","Unknown","Visibility limitation",1,1,2,1,0
"October","2017","Unknown","Strong wind",5,8,16,12,0
"October","2017","Unknown","Other",3,4,6,4,0
"October","2017","Unknown","Unknown",51,73,101,54,5
"October","2018","Straight and level","Clear and sunny",4981,9315,13001,6714,67
"October","2018","Straight and level","Overcast, cloudy but no precipitation",855,1523,2056,1117,12
"October","2018","Straight and level","Raining",1162,2079,2989,1533,17
"October","2018","Straight and level","Snowing, not including drifting snow",207,328,437,257,7
"October","2018","Straight and level","Freezing rain, sleet, hail",21,35,41,27,1
"October","2018","Straight and level","Visibility limitation",76,120,171,96,1
"October","2018","Straight and level","Strong wind",10,16,22,13,0
"October","2018","Straight and level","Other",17,30,41,17,1
"October","2018","Straight and level","Unknown",71,125,177,93,0
"October","2018","Straight with gradient","Clear and sunny",534,1017,1498,761,14
"October","2018","Straight with gradient","Overcast, cloudy but no precipitation",99,178,246,126,3
"October","2018","Straight with gradient","Raining",136,230,325,179,1
"October","2018","Straight with gradient","Snowing, not including drifting snow",37,59,97,50,2
"October","2018","Straight with gradient","Freezing rain, sleet, hail",3,3,4,3,0
"October","2018","Straight with gradient","Visibility limitation",5,8,12,7,1
"October","2018","Straight with gradient","Strong wind",0,0,0,0,0
"October","2018","Straight with gradient","Other",2,3,9,4,0
"October","2018","Straight with gradient","Unknown",7,9,11,7,0
"October","2018","Curved and level","Clear and sunny",375,541,758,485,13
"October","2018","Curved and level","Overcast, cloudy but no precipitation",104,146,191,123,4
"October","2018","Curved and level","Raining",120,159,229,154,7
"October","2018","Curved and level","Snowing, not including drifting snow",41,58,80,56,0
"October","2018","Curved and level","Freezing rain, sleet, hail",6,8,11,8,0
"October","2018","Curved and level","Visibility limitation",21,27,40,28,1
"October","2018","Curved and level","Strong wind",1,2,3,1,0
"October","2018","Curved and level","Other",1,2,2,1,0
"October","2018","Curved and level","Unknown",3,4,7,3,0
"October","2018","Curved with gradient","Clear and sunny",170,253,385,226,14
"October","2018","Curved with gradient","Overcast, cloudy but no precipitation",65,91,119,81,0
"October","2018","Curved with gradient","Raining",61,75,113,79,0
"October","2018","Curved with gradient","Snowing, not including drifting snow",20,32,61,32,0
"October","2018","Curved with gradient","Freezing rain, sleet, hail",2,2,3,2,0
"October","2018","Curved with gradient","Visibility limitation",10,13,20,13,3
"October","2018","Curved with gradient","Strong wind",0,0,0,0,0
"October","2018","Curved with gradient","Other",1,1,2,2,0
"October","2018","Curved with gradient","Unknown",0,0,0,0,0
"October","2018","Top of hill or gradient","Clear and sunny",69,111,143,88,1
"October","2018","Top of hill or gradient","Overcast, cloudy but no precipitation",27,43,60,33,0
"October","2018","Top of hill or gradient","Raining",11,20,30,17,0
"October","2018","Top of hill or gradient","Snowing, not including drifting snow",9,14,22,12,1
"October","2018","Top of hill or gradient","Freezing rain, sleet, hail",1,1,1,1,0
"October","2018","Top of hill or gradient","Visibility limitation",1,2,2,2,0
"October","2018","Top of hill or gradient","Strong wind",1,2,3,2,0
"October","2018","Top of hill or gradient","Other",0,0,0,0,0
"October","2018","Top of hill or gradient","Unknown",1,2,4,2,0
"October","2018","Bottom of hill or gradient","Clear and sunny",50,86,131,78,0
"October","2018","Bottom of hill or gradient","Overcast, cloudy but no precipitation",22,33,47,30,0
"October","2018","Bottom of hill or gradient","Raining",18,31,48,20,2
"October","2018","Bottom of hill or gradient","Snowing, not including drifting snow",16,21,34,23,0
"October","2018","Bottom of hill or gradient","Freezing rain, sleet, hail",1,1,1,1,0
"October","2018","Bottom of hill or gradient","Visibility limitation",5,8,12,6,0
"October","2018","Bottom of hill or gradient","Strong wind",0,0,0,0,0
"October","2018","Bottom of hill or gradient","Other",0,0,0,0,0
"October","2018","Bottom of hill or gradient","Unknown",1,1,1,1,0
"October","2018","Other","Clear and sunny",12,21,29,17,0
"October","2018","Other","Overcast, cloudy but no precipitation",5,9,12,5,0
"October","2018","Other","Raining",2,3,4,2,0
"October","2018","Other","Snowing, not including drifting snow",1,2,2,1,0
"October","2018","Other","Freezing rain, sleet, hail",0,0,0,0,0
"October","2018","Other","Visibility limitation",0,0,0,0,0
"October","2018","Other","Strong wind",0,0,0,0,0
"October","2018","Other","Other",1,1,1,1,0
"October","2018","Other","Unknown",6,13,16,8,0
"October","2018","Unknown","Clear and sunny",381,720,961,469,6
"October","2018","Unknown","Overcast, cloudy but no precipitation",10,23,28,15,0
"October","2018","Unknown","Raining",27,44,63,35,0
"October","2018","Unknown","Snowing, not including drifting snow",13,24,31,15,0
"October","2018","Unknown","Freezing rain, sleet, hail",0,0,0,0,0
"October","2018","Unknown","Visibility limitation",3,3,5,3,0
"October","2018","Unknown","Strong wind",0,0,0,0,0
"October","2018","Unknown","Other",4,5,10,5,0
"October","2018","Unknown","Unknown",48,77,106,62,0
"October","2019","Straight and level","Clear and sunny",4871,9125,12925,6509,77
"October","2019","Straight and level","Overcast, cloudy but no precipitation",710,1308,1751,914,12
"October","2019","Straight and level","Raining",1183,2108,3090,1576,12
"October","2019","Straight and level","Snowing, not including drifting snow",217,361,485,301,4
"October","2019","Straight and level","Freezing rain, sleet, hail",19,33,40,26,0
"October","2019","Straight and level","Visibility limitation",82,139,190,109,0
"October","2019","Straight and level","Strong wind",21,30,43,25,2
"October","2019","Straight and level","Other",14,25,34,18,0
"October","2019","Straight and level","Unknown",74,142,174,90,1
"October","2019","Straight with gradient","Clear and sunny",454,865,1263,649,9
"October","2019","Straight with gradient","Overcast, cloudy but no precipitation",91,162,225,112,1
"October","2019","Straight with gradient","Raining",136,252,375,193,0
"October","2019","Straight with gradient","Snowing, not including drifting snow",19,27,40,24,0
"October","2019","Straight with gradient","Freezing rain, sleet, hail",2,2,4,3,0
"October","2019","Straight with gradient","Visibility limitation",6,9,12,7,0
"October","2019","Straight with gradient","Strong wind",1,2,5,2,0
"October","2019","Straight with gradient","Other",1,2,6,1,0
"October","2019","Straight with gradient","Unknown",6,11,13,7,1
"October","2019","Curved and level","Clear and sunny",412,605,845,516,25
"October","2019","Curved and level","Overcast, cloudy but no precipitation",105,140,185,129,2
"October","2019","Curved and level","Raining",124,184,251,153,5
"October","2019","Curved and level","Snowing, not including drifting snow",20,32,42,25,0
"October","2019","Curved and level","Freezing rain, sleet, hail",1,1,1,1,0
"October","2019","Curved and level","Visibility limitation",19,25,28,20,0
"October","2019","Curved and level","Strong wind",0,0,0,0,0
"October","2019","Curved and level","Other",1,1,1,1,0
"October","2019","Curved and level","Unknown",7,11,16,10,1
"October","2019","Curved with gradient","Clear and sunny",159,237,363,207,13
"October","2019","Curved with gradient","Overcast, cloudy but no precipitation",50,59,74,56,2
"October","2019","Curved with gradient","Raining",53,76,103,62,0
"October","2019","Curved with gradient","Snowing, not including drifting snow",12,15,21,14,0
"October","2019","Curved with gradient","Freezing rain, sleet, hail",4,11,13,6,0
"October","2019","Curved with gradient","Visibility limitation",3,3,3,3,0
"October","2019","Curved with gradient","Strong wind",0,0,0,0,0
"October","2019","Curved with gradient","Other",0,0,0,0,0
"October","2019","Curved with gradient","Unknown",3,3,3,3,0
"October","2019","Top of hill or gradient","Clear and sunny",85,144,208,111,3
"October","2019","Top of hill or gradient","Overcast, cloudy but no precipitation",19,28,40,22,0
"October","2019","Top of hill or gradient","Raining",13,17,19,16,0
"October","2019","Top of hill or gradient","Snowing, not including drifting snow",6,12,15,9,0
"October","2019","Top of hill or gradient","Freezing rain, sleet, hail",0,0,0,0,0
"October","2019","Top of hill or gradient","Visibility limitation",1,3,3,3,0
"October","2019","Top of hill or gradient","Strong wind",1,1,1,1,0
"October","2019","Top of hill or gradient","Other",0,0,0,0,0
"October","2019","Top of hill or gradient","Unknown",1,1,1,1,0
"October","2019","Bottom of hill or gradient","Clear and sunny",49,83,134,82,0
"October","2019","Bottom of hill or gradient","Overcast, cloudy but no precipitation",17,26,46,27,0
"October","2019","Bottom of hill or gradient","Raining",13,17,29,23,0
"October","2019","Bottom of hill or gradient","Snowing, not including drifting snow",5,7,10,9,0
